url,url_listing,product_handle,artist,title,drager,prijs,bron_collectie,bron_listing_urls,ean,mogelijk_2e_hands,detail_status,detail_opmerking,detail_checked_at
https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp,https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp,a-ap-rocky-long-live-a-ap-deluxe-2lp,,A$Ap Rocky Long.Live.A$Ap (Deluxe),2LP,"39,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps,0887654369611,NEE,ok,,2026-03-12 21:42:36
https://bobsvinyl.nl/products/abba-abba-gold-greatest-hits-2lp,https://bobsvinyl.nl/products/abba-abba-gold-greatest-hits-2lp,abba-abba-gold-greatest-hits-2lp,,ABBA ‎– Gold (Greatest Hits),2LP,"39,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps,0600753511060,NEE,ok,,2026-03-12 21:42:37
https://bobsvinyl.nl/products/ac-dc-for-those-about-to-rock-we-salute-you-lp,https://bobsvinyl.nl/products/ac-dc-for-those-about-to-rock-we-salute-you-lp,ac-dc-for-those-about-to-rock-we-salute-you-lp,,AC/DC ‎- For Those About To Rock (We Salute You),LP,"25,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=2,5099751076612,NEE,ok,,2026-03-12 21:42:36
https://bobsvinyl.nl/products/alabama-shakes-boys-girls-lp-7,https://bobsvinyl.nl/products/alabama-shakes-boys-girls-lp-7,alabama-shakes-boys-girls-lp-7,,Alabama Shakes ‎– Boys & Girls,"LP+7""","32,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=2,0883870165013,NEE,ok,,2026-03-12 21:42:36
https://bobsvinyl.nl/products/alan-parsons-project-eye-in-the-sky-lp,https://bobsvinyl.nl/products/alan-parsons-project-eye-in-the-sky-lp,alan-parsons-project-eye-in-the-sky-lp,,Alan Parsons Project ‎– Eye In The Sky,LP,"29,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=3,0889853754311,NEE,ok,,2026-03-12 21:42:36
https://bobsvinyl.nl/products/alan-parsons-project-the-turn-of-a-friendly-card-lp,https://bobsvinyl.nl/products/alan-parsons-project-the-turn-of-a-friendly-card-lp,alan-parsons-project-the-turn-of-a-friendly-card-lp,,Alan Parsons Project ‎– The Turn Of A Friendly Card,LP,"28,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=3,8713748982812,NEE,ok,,2026-03-12 21:42:37
https://bobsvinyl.nl/products/alanis-morissette-jagged-little-pill-lp,https://bobsvinyl.nl/products/alanis-morissette-jagged-little-pill-lp,alanis-morissette-jagged-little-pill-lp,,Alanis Morissette ‎- Jagged Little Pill,LP,"19,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=3,081227971687,NEE,ok,,2026-03-12 21:42:37
https://bobsvinyl.nl/products/alice-cooper-trash-lp,https://bobsvinyl.nl/products/alice-cooper-trash-lp,alice-cooper-trash-lp,,Alice Cooper ‎– Trash,LP,"29,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=3,8719262003637,NEE,ok,,2026-03-12 21:42:38
https://bobsvinyl.nl/products/alicia-keys-songs-in-a-minor-2lp,https://bobsvinyl.nl/products/alicia-keys-songs-in-a-minor-2lp,alicia-keys-songs-in-a-minor-2lp,,Alicia Keys ‎– Songs In A Minor,2LP,"32,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=4 | https://bobsvinyl.nl/collections/nieuwe-lps?page=4 | https://bobsvinyl.nl/collections/nieuwe-lps?page=3,889853442911,NEE,ok,,2026-03-12 21:42:38
https://bobsvinyl.nl/products/alter-bridge-blackbird-2lp,https://bobsvinyl.nl/products/alter-bridge-blackbird-2lp,alter-bridge-blackbird-2lp,,Alter Bridge ‎- Blackbird,2LP,"34,95",nieuwe-lps,https://bobsvinyl.nl/collections/nieuwe-lps?page=4,0600753426555,NEE,ok,,2026-03-12 21:42:38
