url,artist,title,type,drager,prijs,op_voorraad,bron_categorieen,bron_listing_urls,label,releasedatum,herkomst,item_nr,ean
https://www.platomania.nl/article/11824037/sing_me_a_lullaby_my_sweet_temptation_coloured/uicideboy,$UICIDEBOY$,SING ME A LULLABY MY SWEET TEMPTATION -COLOURED-,,LP (1),"32,99",JA,nieuw vinyl hiphopsoul,https://www.platomania.nl/nieuw-vinyl-hiphopsoul?page=9,G59 RECORDS,05-05-2023,NL,4417818,0196925411752
https://www.platomania.nl/article/14745759/mtv_unplugged/10000_maniacs,10.000 MANIACS,MTV UNPLUGGED,,LP (2),"49,99",NEE,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=14,RHINO,06-09-2024,NL,4689895,0603497823932
https://www.platomania.nl/article/14745760/mtv_unplugged_coloured/10000_maniacs,10.000 MANIACS,MTV UNPLUGGED -COLOURED-,,LP (2),"54,99",JA,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=14,RHINO,06-09-2024,NL,4689896,0081227814250
https://www.platomania.nl/article/16305355/i_like_it_when_you_sleep_for_you_ar_pink_vinyl/1975_the,"1975, THE","I LIKE IT WHEN YOU SLEEP, FOR YOU AR -PINK VINYL-",,LP (2),"49,99",JA,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=2,POLYDOR,27-02-2026,NL,4853132,0602488205436
https://www.platomania.nl/article/14492941/welcome_2_collegrove_coloured/2_chainz_lil_wayne,2 CHAINZ & LIL WAYNE,WELCOME 2 COLLEGROVE -COLOURED-,,LP (2),"44,99",JA,nieuw vinyl hiphopsoul,https://www.platomania.nl/nieuw-vinyl-hiphopsoul?page=5,DEF JAM,20-04-2024,NL,4648374,0602465037623
https://www.platomania.nl/article/14259755/american_dream_coloured/21_savage,21 SAVAGE,AMERICAN DREAM -COLOURED-,,LP (2),"44,99",JA,nieuw vinyl hiphopsoul,https://www.platomania.nl/nieuw-vinyl-hiphopsoul?page=6,"SLAUGHTER GANG, LLC",15-03-2024,NL,4640099,0196588202810
https://www.platomania.nl/article/13601239/savage_mode_ii/21_savage_metro_boomin,21 SAVAGE & METRO BOOMIN,SAVAGE MODE II,,LP (1),"32,99",NEE,nieuw vinyl hiphopsoul,https://www.platomania.nl/nieuw-vinyl-hiphopsoul?page=8,SLAUGHTER GANG,15-01-2021,US,4571468,0194398186313
https://www.platomania.nl/article/11952228/as_heard_on_radio_soulwax_pt_2/2manydjs,2MANYDJS,AS HEARD ON RADIO SOULWAX PT. 2,,LP (2),"34,99",JA,vinyl reissues,https://www.platomania.nl/vinyl-reissues?page=10,LABELS P PIAS,25-11-2022,NL,4438826,5400863087937
https://www.platomania.nl/article/16012173/everyone_s_a_star_neon_pink_glitter_vinyl/5_seconds_of_summer,5 SECONDS OF SUMMER,EVERYONE S A STAR! -NEON PINK GLITTER VINYL-,,LP (1),"34,99",JA,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=3,UNIVERSAL,14-11-2025,NL,4817187,0602488013031
https://www.platomania.nl/article/10608059/black_pearl_turquoise/50_foot_wave,50 FOOT WAVE,BLACK PEARL (TURQUOISE),,LP (1),"32,99",NEE,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=30,FIRE,15-04-2022,NL,4354355,0809236162670
https://www.platomania.nl/article/14672390/klokgebouw_live_session/69_charger,69 CHARGER,KLOKGEBOUW LIVE SESSION,,LP (1),"29,99",NEE,nieuw vinyl metalpunk,https://www.platomania.nl/nieuw-vinyl-metalpunk?page=2,SONIC RENDEZVOUS,06-09-2024,NL,4682086,0634240274299
https://www.platomania.nl/article/13072946/since_i_have_a_lover/6lack,6LACK,SINCE I HAVE A LOVER,,LP (2),"39,99",NEE,nieuw vinyl hiphopsoul,https://www.platomania.nl/nieuw-vinyl-hiphopsoul?page=8,INTERSCOPE,23-06-2023,NL,4558489,0602455466877
https://www.platomania.nl/article/14492942/you_don_t_have_to_be_y/86tvs,86TVS,YOU DON T HAVE TO BE Y...,,"12"" (1)","14,99",JA,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=19,PLG UK FRONTLINE,20-04-2024,NL,4648375,5054197899065
https://www.platomania.nl/article/8713588/acr_loco/a_certain_ratio,A CERTAIN RATIO,ACR LOCO,,LP (1),"26,99",NEE,nieuw vinyl poprock,https://www.platomania.nl/nieuw-vinyl-poprock?page=37,MUTE MUTE,25-09-2020,NL,4151174,5400863033521
