artist,bron_collectie,bron_listing_urls,detail_checked_at,detail_opmerking,detail_status,drager,ean,line_number,mogelijk_2e_hands,price_checked_at,prijs,product_handle,reason,title,url,url_listing
,all,https://bobsvinyl.nl/collections/nieuwe-lps | https://bobsvinyl.nl/collections/all | https://bobsvinyl.nl/collections/nieuwe-lps | https://bobsvinyl.nl/collections/all,2026-03-16 22:44:34,,ok,2LP,0887654369611,2,NEE,2026-03-29 20:03:39,"39,95",a-ap-rocky-long-live-a-ap-deluxe-2lp,missing_artist_after_inference,A$Ap Rocky Long.Live.A$Ap (Deluxe),https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp,https://bobsvinyl.nl/products/a-ap-rocky-long-live-a-ap-deluxe-2lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=7 | https://bobsvinyl.nl/collections/all?page=11 | https://bobsvinyl.nl/collections/nieuwe-lps?page=7 | https://bobsvinyl.nl/collections/all?page=11,2026-03-16 22:44:36,,ok,2LP,603497842391,16,NEE,2026-03-29 20:03:50,"34,95",art-blakeys-jazz-messengers-with-thelonious-monk2lp,missing_artist_after_inference,Art Blakey's Jazz Messengers With Thelonious Monk,https://bobsvinyl.nl/products/art-blakeys-jazz-messengers-with-thelonious-monk2lp,https://bobsvinyl.nl/products/art-blakeys-jazz-messengers-with-thelonious-monk2lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=9 | https://bobsvinyl.nl/collections/all?page=16 | https://bobsvinyl.nl/collections/nieuwe-lps?page=9 | https://bobsvinyl.nl/collections/all?page=16,2026-03-16 22:44:37,,ok,2LP,5014797906952,20,NEE,2026-03-29 20:03:56,"16,95",bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp,missing_artist_after_inference,"Bernard Butler People Move On: The B-Sides, 1998 + 2021 (RSD 2022)",https://bobsvinyl.nl/products/bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp,https://bobsvinyl.nl/products/bernard-butler-people-move-on-the-b-sides-1998-2021-rsd-2022-2lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/all?page=24 | https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/all?page=24,2026-03-16 22:44:38,,ok,LP,0602547276292,27,NEE,2026-03-29 20:04:04,"29,95",bob-marley-the-wailers-confrontation-lp,missing_artist_after_inference,Bob Marley & the Wailers Confrontation,https://bobsvinyl.nl/products/bob-marley-the-wailers-confrontation-lp,https://bobsvinyl.nl/products/bob-marley-the-wailers-confrontation-lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/nieuwe-lps?page=14 | https://bobsvinyl.nl/collections/all?page=24 | https://bobsvinyl.nl/collections/nieuwe-lps?page=13 | https://bobsvinyl.nl/collections/nieuwe-lps?page=14 | https://bobsvinyl.nl/collections/all?page=24,2026-03-16 22:44:38,2e hands-vermelding gevonden; geen EAN zichtbaar,2e_hands_bevestigd,,,28,JA,2026-03-29 20:04:04,"Vanaf10,00",bobs-vinyl-cadeaubon,detail_status_not_ok,Bob's Vinyl Cadeaubon,https://bobsvinyl.nl/products/bobs-vinyl-cadeaubon,https://bobsvinyl.nl/products/bobs-vinyl-cadeaubon
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=14 | https://bobsvinyl.nl/collections/all?page=26 | https://bobsvinyl.nl/collections/nieuwe-lps?page=14 | https://bobsvinyl.nl/collections/all?page=26,2026-03-16 22:44:38,,ok,2LP,0602475227304,29,NEE,2026-03-29 20:04:06,"42,95",boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp,missing_artist_after_inference,Boomtown Rats The First 50 Years: Songs of Boomtown Glory,https://bobsvinyl.nl/products/boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp,https://bobsvinyl.nl/products/boomtown-rats-the-first-50-years-songs-of-boomtown-glory-2lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=15 | https://bobsvinyl.nl/collections/all?page=27 | https://bobsvinyl.nl/collections/nieuwe-lps?page=15 | https://bobsvinyl.nl/collections/all?page=27,2026-03-16 22:44:38,,ok,LP,196587791711,31,NEE,2026-03-29 20:04:07,"31,95",britney-spears-circus-lp,missing_artist_after_inference,Britney Spears -Circus,https://bobsvinyl.nl/products/britney-spears-circus-lp,https://bobsvinyl.nl/products/britney-spears-circus-lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/all?page=35 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/all?page=35 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/all?page=35 | https://bobsvinyl.nl/collections/nieuwe-lps?page=19 | https://bobsvinyl.nl/collections/nieuwe-lps?page=20 | https://bobsvinyl.nl/collections/all?page=35,2026-03-29 20:08:40,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,36,NEE,2026-03-29 20:04:16,"19,95",charlie-the-lesbians-fade-lp,detail_status_not_ok,Charlie & The Lesbians ‎– Fade,https://bobsvinyl.nl/products/charlie-the-lesbians-fade-lp,https://bobsvinyl.nl/products/charlie-the-lesbians-fade-lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=40 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=40 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=40 | https://bobsvinyl.nl/collections/nieuwe-lps?page=21 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=40,2026-03-29 20:08:43,"poging 3/3: valide productpagina, maar geen EAN gevonden",geen_ean_na_retries,LP,,40,NEE,2026-03-29 20:04:21,"19,95",colin-cowan-the-elastic-stars-fall-paths-lp,detail_status_not_ok,Colin Cowan & The Elastic Stars ‎– Fall Paths,https://bobsvinyl.nl/products/colin-cowan-the-elastic-stars-fall-paths-lp,https://bobsvinyl.nl/products/colin-cowan-the-elastic-stars-fall-paths-lp
,all,https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=41 | https://bobsvinyl.nl/collections/nieuwe-lps?page=22 | https://bobsvinyl.nl/collections/all?page=41,2026-03-16 22:44:40,,ok,2LP,4015698280760,41,NEE,2026-03-29 20:04:22,"36,95",conrad-schnitzler-ken-montgomer-2lp,missing_artist_after_inference,Conrad Schnitzler & Ken Montgomer,https://bobsvinyl.nl/products/conrad-schnitzler-ken-montgomer-2lp,https://bobsvinyl.nl/products/conrad-schnitzler-ken-montgomer-2lp
